POLICY_ID,AGENT_ID,CUST_ID,POLICY_TYPE,POLICY_DURATION,PAYMENT_FREQ,PREMIUM_AMOUNT,PAYMENT_LAG,PAYMENT_METHOD,RENEWAL_COUNT,PAYMENT_FLAG_BEFORE_3MONTHS,POLICY_CANCELLATION_FLAG,CANCELLATION_REASON,SALES_CHANNEL,POLICY_STATUS,RENEWAL_DATE
N000000034,17730575,400600115,standard,36,monthly,21340,0,cash,0,1,0,,partner,Cancelled,1814832000000
N000000035,19650060,400600120,standard,48,annual,11347,22,ach,1,1,0,,phone,Active,1866844800000
N000000036,18475730,400600125,comprehensive,12,semi-annual,11853,10,credit card,1,1,0,,agent,Lapsed,1726963200000
N000000037,20781641,400600134,standard,36,annual,13003,16,debit card,4,1,0,,partner,Lapsed,1799366400000
N000000038,18807714,400600137,comprehensive,36,quarterly,33184,4,bank transfer,0,1,0,,agent,Cancelled,1802390400000
N000000039,21377671,400600139,premium,12,annual,3840,9,check,1,0,0,,web,Lapsed,1778371200000
N000000040,20249942,400600139,basic,48,annual,5280,24,debit card,0,1,0,,phone,Active,1873152000000
N000000041,8494145,400600140,basic,60,semi-annual,8340,8,bank transfer,4,1,1,non-payment,phone,Cancelled,1904169600000
N000000042,13984981,400600151,comprehensive,36,annual,9108,9,cash,3,1,0,,phone,Renewed,1797379200000
N000000043,21125563,400600157,comprehensive,60,semi-annual,39600,5,cash,3,1,1,high risk,partner,Cancelled,1879113600000
N000000044,17786612,400600157,comprehensive,36,monthly,14097,5,bank transfer,4,1,0,,agent,Cancelled,1812067200000
N000000045,21109804,400600168,basic,12,annual,5592,18,bank transfer,3,1,0,,partner,Active,1702857600000
N000000046,2510141,400600178,standard,12,annual,6191,23,debit card,4,1,0,,phone,Active,1775347200000
N000000047,21226281,400600180,premium,24,quarterly,11827,2,check,3,1,0,,partner,Renewed,1800316800000
N000000048,20683616,400600180,standard,60,annual,7560,12,check,1,0,0,,agent,Active,1873843200000
N000000049,20989449,400600181,basic,36,quarterly,12816,21,cash,1,1,0,,agent,Active,1789171200000
N000000050,10218511,400600186,basic,36,annual,8136,4,bank transfer,1,1,0,,phone,Lapsed,1800316800000
N000000051,21388371,400600186,premium,60,monthly,31584,15,credit card,3,1,1,other,phone,Cancelled,1873670400000
N000000052,18653629,400600190,premium,24,quarterly,4224,4,debit card,3,1,0,,partner,Cancelled,1770076800000
N000000053,130184,400600195,comprehensive,36,monthly,18691,9,credit card,3,1,0,,phone,Cancelled,1797724800000
N000000054,20171174,400600205,basic,48,quarterly,6816,13,debit card,2,0,0,,phone,Lapsed,1818460800000
N000000055,17721442,400600207,comprehensive,60,semi-annual,35640,19,ach,0,1,0,,partner,Renewed,1871942400000
N000000056,3220748,400600210,premium,12,semi-annual,6758,6,cash,0,0,0,,agent,Lapsed,1697155200000
N000000057,3217811,400600214,premium,60,monthly,9888,17,debit card,4,1,0,,web,Active,1840665600000
N000000058,20737660,400600214,standard,24,quarterly,11404,10,bank transfer,2,1,0,,partner,Lapsed,1795824000000
N000000059,17904096,400600217,basic,60,quarterly,28980,28,cash,0,1,0,,phone,Active,1884816000000
N000000060,7826707,400600222,comprehensive,48,monthly,31363,28,cash,1,0,1,moved to competitor,partner,Cancelled,1824422400000
N000000061,19259456,400600222,comprehensive,36,quarterly,35006,13,bank transfer,3,0,0,,agent,Active,1805241600000
N000000062,20999978,400600226,basic,36,semi-annual,13068,3,bank transfer,4,1,0,,web,Renewed,1772668800000
N000000063,20316557,400600228,comprehensive,12,monthly,7840,8,cash,4,1,0,,agent,Cancelled,1781481600000
N000000064,21238152,400600243,basic,60,quarterly,12120,4,debit card,3,1,0,,agent,Active,1893196800000
N000000065,7443284,400600243,premium,48,monthly,9907,25,debit card,2,0,0,,phone,Active,1810512000000
N000000066,20838593,400600244,standard,36,annual,8812,19,credit card,2,1,0,,web,Lapsed,1822867200000
N000000067,461506,400600252,premium,24,quarterly,6144,18,check,4,1,1,other,partner,Cancelled,1739318400000
N000000068,20981025,400600252,premium,48,quarterly,32332,15,bank transfer,2,1,0,,partner,Renewed,1832630400000
N000000069,7613441,400600256,comprehensive,48,semi-annual,14572,28,cash,0,0,0,,phone,Lapsed,1803254400000
N000000070,17825487,400600264,comprehensive,24,quarterly,6072,21,debit card,1,0,0,,web,Renewed,1762128000000
N000000071,20043005,400600264,basic,36,semi-annual,12744,26,cash,1,1,0,,partner,Cancelled,1812758400000
N000000072,15882856,400600283,premium,24,annual,4454,6,bank transfer,4,1,0,,web,Renewed,1756339200000
N000000073,16350675,400600283,comprehensive,60,quarterly,43824,27,cash,2,1,0,,web,Lapsed,1825891200000
N000000074,20763222,400600283,standard,36,annual,15811,15,ach,0,1,0,,phone,Renewed,1819497600000
N000000075,20620787,400600284,premium,48,monthly,25113,28,debit card,4,1,0,,phone,Lapsed,1810339200000
N000000076,16558965,400600287,comprehensive,24,quarterly,13305,9,bank transfer,4,1,0,,partner,Renewed,1817683200000
N000000077,18820345,400600291,comprehensive,60,semi-annual,17028,10,check,0,0,0,,web,Active,1847059200000
N000000078,21420439,400600296,standard,12,semi-annual,3729,4,bank transfer,0,0,0,,agent,Lapsed,1729296000000
N000000079,21150656,400600316,premium,36,quarterly,27936,3,credit card,3,1,1,high risk,partner,Cancelled,1842998400000
N000000080,18843326,400600316,standard,24,semi-annual,13651,27,cash,3,1,0,,agent,Active,1798588800000
N000000081,20678175,400600323,standard,48,quarterly,26323,0,cash,3,1,0,,partner,Lapsed,1844812800000
N000000082,8920640,400600330,basic,48,monthly,13488,9,cash,3,1,0,,phone,Lapsed,1868486400000
N000000083,6796697,400600330,premium,24,quarterly,15744,11,debit card,4,1,1,moved to competitor,agent,Cancelled,1768867200000
N000000084,20831480,400600330,comprehensive,12,annual,4144,9,credit card,4,1,0,,phone,Renewed,1750377600000
N000000085,15515207,400600333,standard,60,semi-annual,32616,13,bank transfer,2,1,0,,agent,Renewed,1860796800000
N000000086,4793989,400600333,premium,24,semi-annual,9792,27,check,4,1,0,,phone,Cancelled,1728432000000
N000000087,10147082,400600340,standard,24,monthly,9820,20,check,0,0,0,,phone,Lapsed,1814832000000
N000000088,18999157,400600340,standard,36,monthly,18403,14,check,0,1,1,non-payment,web,Cancelled,1762041600000
N000000089,9426577,400600353,comprehensive,12,annual,11404,10,ach,4,1,1,customer request,web,Cancelled,1766707200000
N000000090,21064096,400600353,premium,12,monthly,9331,28,check,1,0,0,,partner,Renewed,1767657600000
N000000091,20395566,400600357,comprehensive,24,annual,12408,24,cash,4,1,0,,web,Renewed,1808524800000
N000000092,18261103,400600360,basic,60,quarterly,24360,20,check,2,0,0,,partner,Active,1881705600000
N000000093,21320409,400600364,comprehensive,12,annual,12777,8,check,3,1,1,non-payment,agent,Cancelled,1742256000000
N000000094,17299714,400600382,premium,36,semi-annual,18374,21,cash,3,1,0,,partner,Renewed,1761004800000
N000000095,19599726,400600382,basic,36,annual,11556,6,cash,1,0,1,customer request,phone,Cancelled,1813622400000
N000000096,6105915,400600390,comprehensive,36,semi-annual,21463,21,cash,1,0,0,,agent,Lapsed,1779148800000
N000000097,20662696,400600394,standard,12,quarterly,4392,27,credit card,1,0,0,,phone,Renewed,1774396800000
N000000098,19674426,400600394,basic,60,semi-annual,21900,8,credit card,2,0,0,,agent,Renewed,1904774400000
N000000099,353287,400600400,comprehensive,36,annual,9900,5,check,4,1,0,,agent,Active,1817337600000
N000000100,6437026,400600400,comprehensive,48,quarterly,39811,1,debit card,3,1,0,,agent,Cancelled,1803772800000
N000000101,8982430,400600406,premium,36,monthly,10080,25,debit card,0,0,0,,partner,Cancelled,1785888000000
N000000102,18661682,400600410,basic,24,quarterly,3432,12,debit card,1,0,0,,web,Active,1780963200000
N000000103,20584217,400600415,basic,36,quarterly,6300,2,cash,2,1,0,,partner,Cancelled,1800921600000
N000000104,13434461,400600415,premium,36,annual,23673,2,ach,2,1,0,,web,Renewed,1817337600000
N000000105,18576999,400600421,premium,48,monthly,12364,11,credit card,1,1,0,,phone,Lapsed,1837123200000
N000000106,7112481,400600421,basic,60,semi-annual,16800,10,debit card,1,1,0,,partner,Renewed,1907971200000
N000000107,10474389,400600422,comprehensive,36,quarterly,23997,24,credit card,1,1,0,,web,Lapsed,1848441600000
N000000108,19676504,400600422,standard,24,monthly,9907,12,ach,0,1,0,,partner,Renewed,1769212800000
N000000109,19590289,400600423,premium,24,quarterly,14361,26,debit card,3,1,0,,phone,Cancelled,1817337600000
N000000110,16520526,400600426,comprehensive,48,semi-annual,33897,12,check,0,0,0,,phone,Active,1867536000000
N000000111,20701897,400600429,premium,48,annual,28492,20,credit card,2,1,0,,web,Renewed,1859328000000
N000000112,16477952,400600434,standard,48,semi-annual,24710,12,debit card,3,0,0,,partner,Renewed,1828915200000
N000000113,8067064,400600434,comprehensive,12,monthly,11880,20,cash,4,0,0,,agent,Cancelled,1719273600000
N000000114,8436409,400600435,standard,48,semi-annual,27417,14,credit card,1,1,0,,partner,Lapsed,1808956800000
N000000115,19087900,400600435,premium,60,quarterly,43200,19,bank transfer,0,0,0,,partner,Lapsed,1838937600000
N000000116,20370427,400600439,standard,36,annual,4665,16,ach,1,0,0,,web,Active,1783555200000
N000000117,21371206,400600439,basic,12,annual,1512,0,bank transfer,3,1,0,,agent,Renewed,1729641600000
N000000118,21596487,400600448,standard,48,semi-annual,24537,2,check,3,1,0,,partner,Cancelled,1805414400000
N000000119,21035404,400600453,basic,36,annual,17352,4,debit card,4,0,0,,agent,Lapsed,1820275200000
N000000120,3347121,400600453,comprehensive,36,semi-annual,12751,1,credit card,3,0,0,,agent,Renewed,1799539200000
N000000121,21450469,400600454,premium,24,monthly,7795,17,credit card,0,1,0,,phone,Cancelled,1724544000000
N000000122,20209480,400600454,comprehensive,48,semi-annual,20592,10,bank transfer,0,1,0,,phone,Cancelled,1807574400000
N000000123,21688334,400600457,standard,12,monthly,1483,23,ach,0,0,0,,web,Lapsed,1699833600000
N000000124,20171600,400600462,premium,60,annual,29568,7,bank transfer,2,0,0,,phone,Active,1856563200000
N000000125,20017046,400600462,basic,48,semi-annual,11376,20,check,2,1,0,,agent,Active,1852243200000
N000000126,10599295,400600463,basic,60,monthly,29760,22,bank transfer,3,1,1,other,agent,Cancelled,1910736000000
N000000127,17180054,400600464,comprehensive,24,quarterly,22387,9,check,0,0,0,,agent,Renewed,1813276800000
N000000128,19982147,400600468,basic,24,monthly,9000,28,bank transfer,0,1,0,,web,Active,1774310400000
N000000129,20996868,400600468,basic,12,quarterly,1368,3,check,2,0,0,,web,Cancelled,1698969600000
N000000130,20385837,400600469,comprehensive,12,monthly,9081,20,ach,0,1,0,,phone,Active,1751068800000
N000000131,17366510,400600469,premium,60,semi-annual,36576,21,cash,2,1,0,,phone,Lapsed,1909267200000
N000000132,7675351,400600471,basic,60,quarterly,17400,3,credit card,4,0,0,,agent,Lapsed,1827705600000
N000000133,19579634,400600472,comprehensive,48,monthly,14889,1,credit card,4,0,0,,phone,Cancelled,1797984000000
N000000134,19474765,400600472,premium,12,semi-annual,3321,2,debit card,1,1,0,,phone,Active,1708992000000
N000000135,8852906,400600480,comprehensive,24,monthly,12883,19,bank transfer,3,0,0,,web,Cancelled,1748304000000
N000000136,1220463,400600480,basic,48,annual,9408,16,bank transfer,4,1,0,,partner,Lapsed,1822694400000
N000000137,7346035,400600485,premium,60,annual,35712,22,ach,1,1,0,,agent,Lapsed,1837814400000
N000000138,20756127,400600485,premium,48,semi-annual,21811,27,ach,4,0,0,,web,Cancelled,1828137600000
N000000139,20601211,400600486,comprehensive,48,annual,40022,9,ach,2,1,0,,partner,Lapsed,1850428800000
N000000140,17230366,400600488,basic,24,quarterly,4968,15,ach,3,1,0,,agent,Renewed,1815523200000
N000000141,17129838,400600488,comprehensive,48,annual,40761,1,debit card,3,1,0,,phone,Lapsed,1844812800000
N000000142,19995846,400600498,comprehensive,60,annual,14916,29,debit card,1,1,0,,phone,Renewed,1845590400000
N000000143,21065074,400600498,standard,48,annual,20275,2,bank transfer,2,1,0,,web,Cancelled,1873152000000
N000000144,20366122,400600500,premium,24,annual,18124,7,ach,4,1,0,,web,Renewed,1781913600000
N000000145,21301165,400600506,comprehensive,36,annual,11642,19,bank transfer,0,0,0,,web,Lapsed,1771459200000
N000000146,21055036,400600510,comprehensive,48,monthly,28195,11,bank transfer,3,1,0,,phone,Renewed,1855008000000
N000000147,20834048,400600510,basic,24,annual,8784,9,cash,4,1,1,moved to competitor,web,Cancelled,1765843200000
N000000148,7519814,400600520,standard,24,semi-annual,11807,19,check,0,1,0,,partner,Active,1736553600000
N000000149,16113196,400600524,standard,24,quarterly,7574,25,check,1,0,0,,phone,Lapsed,1811808000000
N000000150,20163145,400600526,comprehensive,48,monthly,22809,18,ach,4,0,0,,web,Active,1794441600000
N000000151,18109437,400600526,comprehensive,12,monthly,9081,19,check,4,1,0,,web,Renewed,1715385600000
N000000152,20722972,400600531,standard,12,monthly,5414,24,check,4,0,0,,web,Lapsed,1766188800000
N000000153,7135232,400600534,premium,12,quarterly,4569,24,ach,0,0,0,,phone,Lapsed,1694390400000
N000000154,20274516,400600535,basic,12,annual,3000,2,ach,1,1,0,,phone,Lapsed,1696809600000
N000000155,20606113,400600549,basic,36,quarterly,17784,21,debit card,0,1,1,other,agent,Cancelled,1777766400000
N000000156,18523460,400600569,premium,24,quarterly,19161,12,bank transfer,3,1,0,,partner,Active,1785888000000
N000000157,4571311,400600570,basic,60,monthly,14640,9,ach,2,1,0,,partner,Renewed,1889136000000
N000000158,5324159,400600570,basic,60,monthly,12360,26,bank transfer,2,1,0,,web,Active,1842998400000
N000000159,15809236,400600571,basic,12,monthly,5772,28,ach,3,1,0,,web,Renewed,1697068800000
N000000160,21381349,400600573,comprehensive,60,annual,63888,5,cash,4,1,0,,partner,Lapsed,1849737600000
N000000161,21555136,400600574,premium,48,quarterly,36403,13,cash,3,1,1,non-payment,partner,Cancelled,1790467200000
N000000162,20989931,400600575,standard,36,annual,17496,10,credit card,2,0,0,,web,Active,1798243200000
N000000163,20177756,400600579,standard,24,semi-annual,10483,20,check,2,1,0,,agent,Active,1737763200000
N000000164,116476,400600579,comprehensive,24,quarterly,7550,18,debit card,3,1,0,,partner,Cancelled,1813017600000
N000000165,1238053,400600583,basic,48,annual,16704,4,debit card,0,1,0,,web,Renewed,1862611200000
N000000166,18346537,400600586,basic,48,quarterly,13392,8,ach,4,1,0,,agent,Active,1848528000000
N000000167,21505655,400600586,basic,36,semi-annual,11484,20,debit card,0,1,0,,web,Cancelled,1831507200000
N000000168,20080619,400600597,basic,48,monthly,16512,18,debit card,4,1,0,,web,Lapsed,1839110400000
N000000169,17222210,400600601,premium,24,monthly,17472,12,bank transfer,1,1,0,,agent,Renewed,1818028800000
N000000170,18928386,400600602,comprehensive,48,monthly,16579,23,credit card,1,1,0,,partner,Lapsed,1800921600000
N000000171,21052457,400600602,standard,24,monthly,8726,16,credit card,3,1,0,,agent,Cancelled,1779494400000
N000000172,21635371,400600605,basic,12,annual,1860,18,debit card,4,1,0,,phone,Cancelled,1769385600000
N000000173,20050642,400600605,premium,24,semi-annual,8217,22,check,1,0,1,fraud suspected,agent,Cancelled,1800576000000
N000000174,14100722,400600605,premium,36,monthly,12672,1,ach,1,1,0,,phone,Lapsed,1792800000000
N000000175,20100744,400600608,comprehensive,24,quarterly,12883,10,check,1,1,0,,web,Cancelled,1806451200000
N000000176,17332369,400600632,comprehensive,36,quarterly,17582,28,cash,0,0,1,high risk,agent,Cancelled,1834531200000
N000000177,2603099,400600632,premium,48,semi-annual,10137,22,check,0,1,0,,phone,Active,1814832000000
N000000178,17299270,400600636,premium,12,semi-annual,6662,10,bank transfer,0,1,0,,web,Active,1730246400000
N000000179,8549697,400600645,comprehensive,12,monthly,9530,8,cash,1,1,0,,phone,Renewed,1724803200000
N000000180,19100963,400600645,premium,48,annual,37478,10,cash,1,1,0,,agent,Renewed,1866412800000
N000000181,8920277,400600646,basic,36,semi-annual,3996,18,credit card,2,1,0,,agent,Active,1810944000000
N000000182,21309099,400600649,standard,48,quarterly,10252,18,check,1,1,0,,phone,Cancelled,1864598400000
N000000183,21309128,400600649,premium,48,semi-annual,27494,4,debit card,4,1,0,,web,Cancelled,1833753600000
N000000184,17738261,400600652,comprehensive,12,semi-annual,11589,14,check,3,1,0,,agent,Active,1698883200000
N000000185,6995703,400600655,comprehensive,48,quarterly,18902,6,check,3,0,0,,web,Renewed,1788220800000
N000000186,17908057,400600657,basic,12,monthly,1428,27,debit card,1,1,0,,partner,Lapsed,1740096000000
N000000187,18622693,400600670,comprehensive,24,semi-annual,22545,16,credit card,3,0,0,,web,Renewed,1774483200000
N000000188,21231667,400600670,comprehensive,36,semi-annual,20829,2,check,2,0,0,,phone,Renewed,1796947200000
N000000189,20543642,400600688,premium,60,annual,45504,11,debit card,1,1,1,other,agent,Cancelled,1819324800000
N000000190,18141095,400600695,premium,48,semi-annual,24499,5,debit card,1,1,0,,partner,Cancelled,1827619200000
N000000191,19302239,400600695,premium,60,annual,38592,13,ach,4,1,0,,agent,Cancelled,1855699200000
N000000192,20990394,400600695,premium,36,quarterly,20908,22,credit card,3,1,0,,phone,Renewed,1788566400000
N000000193,19661720,400600699,comprehensive,60,monthly,52404,3,ach,0,1,0,,partner,Cancelled,1880496000000
N000000194,16264837,400600699,premium,24,semi-annual,17280,12,check,3,0,0,,agent,Renewed,1754006400000
N000000195,1932089,400600700,premium,60,monthly,31296,4,ach,1,1,0,,web,Cancelled,1869004800000
N000000196,14897444,400600700,standard,48,semi-annual,20908,14,ach,4,1,0,,agent,Active,1808352000000
N000000197,7472702,400600702,basic,60,annual,15480,16,check,3,1,0,,partner,Renewed,1910476800000
N000000198,10810221,400600706,basic,48,quarterly,19920,2,cash,4,1,0,,web,Active,1811548800000
N000000199,968738,400600706,standard,24,semi-annual,3311,20,debit card,4,1,0,,web,Cancelled,1756080000000
N000000200,18186028,400600708,basic,36,quarterly,10764,15,ach,3,1,0,,agent,Active,1848960000000
N000000201,16109607,400600708,premium,48,semi-annual,15667,23,ach,3,1,0,,web,Cancelled,1833062400000
N000000202,17055593,400600716,standard,60,monthly,21528,1,debit card,1,1,0,,partner,Cancelled,1841788800000
N000000203,17765296,400600716,basic,60,annual,14100,13,credit card,1,1,0,,agent,Active,1909440000000
N000000204,18421237,400600716,basic,60,annual,9840,5,check,1,0,0,,phone,Renewed,1840752000000
N000000205,20492363,400600719,premium,24,quarterly,17126,19,debit card,1,1,0,,partner,Cancelled,1773273600000
N000000206,16789356,400600725,standard,36,semi-annual,9806,20,ach,0,1,0,,web,Cancelled,1769731200000
N000000207,19859760,400600725,standard,48,monthly,15091,24,credit card,2,1,0,,web,Active,1863475200000
N000000208,8658226,400600731,basic,48,semi-annual,8928,2,cash,2,1,0,,partner,Renewed,1837296000000
N000000209,10222534,400600732,comprehensive,24,monthly,22228,23,check,4,1,0,,agent,Renewed,1753833600000
N000000210,20302921,400600734,standard,60,quarterly,18576,18,ach,0,1,0,,agent,Lapsed,1889827200000
N000000211,20080588,400600738,premium,60,quarterly,24000,6,debit card,1,1,0,,agent,Renewed,1848614400000
N000000212,19251646,400600740,comprehensive,12,monthly,11695,5,bank transfer,3,0,0,,phone,Active,1784419200000
N000000213,16254317,400600744,comprehensive,48,quarterly,19641,25,cash,4,0,0,,agent,Active,1879459200000
N000000214,18254876,400600756,basic,48,semi-annual,6240,11,debit card,4,1,0,,partner,Renewed,1791072000000
N000000215,19766472,400600766,comprehensive,48,monthly,24182,22,debit card,0,0,0,,agent,Lapsed,1828915200000
N000000216,17398374,400600766,premium,60,semi-annual,24768,16,cash,1,0,0,,web,Active,1870214400000
N000000217,18374900,400600766,comprehensive,24,quarterly,24921,15,bank transfer,3,0,0,,phone,Renewed,1759881600000
N000000218,20848086,400600769,basic,24,monthly,10392,4,bank transfer,4,1,0,,partner,Active,1766880000000
N000000219,20093344,400600772,premium,36,annual,11174,6,check,1,1,0,,phone,Active,1801612800000
N000000220,21099675,400600772,standard,24,quarterly,12383,29,bank transfer,2,1,0,,agent,Lapsed,1772323200000
N000000221,17143226,400600775,basic,24,annual,7872,20,bank transfer,2,0,1,fraud suspected,partner,Cancelled,1757289600000
N000000222,21388195,400600776,comprehensive,60,annual,15444,14,credit card,3,1,0,,partner,Renewed,1911081600000
N000000223,2320520,400600781,premium,60,quarterly,30816,6,cash,1,1,1,moved to competitor,partner,Cancelled,1828656000000
N000000224,21598374,400600794,standard,12,semi-annual,2879,2,bank transfer,3,0,0,,partner,Lapsed,1740873600000
N000000225,21292623,400600797,premium,36,quarterly,21081,15,check,3,1,0,,agent,Lapsed,1837296000000
N000000226,19591547,400600802,premium,48,quarterly,8755,27,cash,3,1,1,customer request,agent,Cancelled,1803427200000
N000000227,19020163,400600802,premium,60,semi-annual,13728,19,credit card,2,1,0,,web,Renewed,1892851200000
N000000228,8285535,400600803,basic,24,semi-annual,5856,3,check,0,1,0,,agent,Renewed,1796688000000
N000000229,18092203,400600807,standard,36,monthly,7257,25,debit card,2,0,0,,phone,Lapsed,1840320000000
N000000230,20163560,400600807,comprehensive,60,monthly,59136,4,check,4,1,0,,partner,Lapsed,1876780800000
N000000231,18883566,400600808,standard,12,semi-annual,3599,27,check,4,1,0,,web,Renewed,1762905600000
N000000232,21486451,400600809,standard,24,monthly,10886,2,ach,3,1,0,,agent,Renewed,1768780800000
N000000233,17083026,400600811,basic,24,annual,7800,23,debit card,4,1,0,,partner,Active,1763424000000
N000000234,21598070,400600811,basic,48,quarterly,6528,28,credit card,1,1,1,customer request,phone,Cancelled,1834617600000
N000000235,1132158,400600817,comprehensive,24,semi-annual,19377,22,ach,3,1,0,,web,Cancelled,1755734400000
N000000236,16792397,400600817,premium,60,annual,21120,27,cash,3,1,0,,agent,Renewed,1869955200000
N000000237,9843226,400600818,basic,36,monthly,15804,12,bank transfer,0,1,0,,web,Renewed,1774137600000
N000000238,2151709,400600818,comprehensive,24,semi-annual,21964,25,ach,3,0,0,,agent,Cancelled,1734048000000
N000000239,1108811,400600822,basic,24,monthly,3552,6,bank transfer,3,0,0,,web,Cancelled,1792886400000
N000000240,21491760,400600822,standard,12,monthly,3599,13,ach,4,1,0,,phone,Active,1769644800000
N000000241,7655089,400600836,comprehensive,60,semi-annual,47388,15,check,3,1,0,,agent,Active,1860624000000
N000000242,18181096,400600849,standard,60,annual,8424,18,bank transfer,0,1,0,,web,Cancelled,1870214400000
N000000243,19623514,400600849,basic,36,quarterly,12924,21,check,3,1,0,,phone,Active,1848268800000
N000000244,17777987,400600852,premium,36,semi-annual,19699,1,bank transfer,3,0,0,,partner,Cancelled,1829347200000
N000000245,18526630,400600869,comprehensive,60,monthly,28380,3,credit card,2,0,0,,agent,Renewed,1837987200000
N000000246,16581887,400600869,comprehensive,12,semi-annual,9926,16,debit card,3,0,0,,partner,Cancelled,1751414400000
N000000247,20645113,400600872,premium,12,monthly,5664,0,debit card,2,1,0,,phone,Cancelled,1754438400000
N000000248,18201693,400600881,comprehensive,12,annual,6890,25,check,4,1,0,,agent,Lapsed,1758931200000
N000000249,14772062,400600881,premium,36,semi-annual,24710,9,credit card,2,1,0,,phone,Lapsed,1777161600000
N000000250,10495994,400600882,premium,24,annual,7872,6,cash,0,0,0,,phone,Renewed,1762560000000
N000000251,21395162,400600886,comprehensive,60,monthly,47520,8,check,4,1,1,other,partner,Cancelled,1876089600000
N000000252,21388360,400600895,premium,48,monthly,19276,17,credit card,2,0,0,,phone,Active,1849651200000
N000000253,20415558,400600896,comprehensive,36,monthly,23522,15,credit card,1,1,0,,phone,Renewed,1790726400000
N000000254,7585018,400600913,basic,24,semi-annual,10464,20,bank transfer,1,1,0,,phone,Lapsed,1814054400000
